date,merchant_name,cashback,category,id
2022-02-10,Megogo,681.27,Сервис,0
2022-02-11,Megogo,1171.52,Сервис,0
2022-02-12,Megogo,1068.24,Сервис,0
2022-02-13,Megogo,1023.07,Сервис,0
2022-02-14,Megogo,559.56,Сервис,0
2022-02-15,Megogo,581.44,Сервис,0
2022-02-16,Megogo,414.97,Сервис,0
2022-02-17,Megogo,625.21,Сервис,0
2022-02-18,Megogo,515.84,Сервис,0
2022-02-19,Megogo,640.47,Сервис,0
2022-02-20,Megogo,517.89,Сервис,0
2022-02-21,Megogo,267.5,Сервис,0
2022-02-22,Megogo,507.31,Сервис,0
2022-02-23,Megogo,647.8,Сервис,0
2022-02-24,Megogo,4.7,Сервис,0
2022-02-10,ЦСКА,12.0,Другое,1
2022-02-11,ЦСКА,67.12,Другое,1
2022-02-12,ЦСКА,95.01,Другое,1
2022-02-13,ЦСКА,253.97,Другое,1
2022-02-14,ЦСКА,81.15,Другое,1
2022-02-15,ЦСКА,34.77,Другое,1
2022-02-16,ЦСКА,82.26,Другое,1
2022-02-17,ЦСКА,155.7,Другое,1
2022-02-18,ЦСКА,81.59,Другое,1
2022-02-19,ЦСКА,66.74,Другое,1
2022-02-20,ЦСКА,18.38,Другое,1
2022-02-21,ЦСКА,48.94,Другое,1
2022-02-22,ЦСКА,70.8,Другое,1
2022-02-23,ЦСКА,28.22,Другое,1
2022-02-24,ЦСКА,94.61,Другое,1
2022-02-26,ЦСКА,4.13,Другое,2
2022-02-27,ЦСКА,123.63,Другое,2
2022-03-03,ЦСКА,45.73,,3
2022-03-04,ЦСКА,33.74,,3
2022-03-05,ЦСКА,17.72,,3
2022-03-10,ЦСКА,121.95,,4
2022-03-01,Аптека Низких Цен,214.07,,5
2022-03-02,Аптека Низких Цен,57.03,,5
2022-03-03,Аптека Низких Цен,175.01,,5
2022-03-04,Аптека Низких Цен,125.65,,5
2022-03-05,Аптека Низких Цен,74.73,,5
2022-03-06,Аптека Низких Цен,107.55,,5
2022-03-07,Аптека Низких Цен,94.02,,5
2022-03-08,Аптека Низких Цен,73.03,,5
2022-03-09,Аптека Низких Цен,84.48,,5
2022-03-10,Аптека Низких Цен,57.79,,5
2022-03-11,Аптека Низких Цен,116.23,,5
2022-03-12,Аптека Низких Цен,62.9,,5
2022-03-13,Аптека Низких Цен,90.63,,5
2022-03-14,Аптека Низких Цен,78.35,,5
2022-03-15,Аптека Низких Цен,108.09,,5
2022-03-16,Аптека Низких Цен,97.59,,5
2022-03-17,Аптека Низких Цен,75.43,,5
2022-03-18,Аптека Низких Цен,88.6,,5
